run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
director-on-s31,director-on,31,5747712,0.65,,0.0,,,,,,,
director-on-s31,director-on,31,5778432,0.62,,0.0,,,,,,,
director-on-s31,director-on,31,5809152,0.58,,0.0,,,,,,,
director-on-s31,director-on,31,5839872,0.63,,0.0,,,,,,,
director-on-s31,director-on,31,5870592,0.54,,0.0,,,,,,,
director-on-s31,director-on,31,5901312,0.65,,0.0,,,,,,,
director-on-s31,director-on,31,5932032,0.66,,0.0,,,,,,,
director-on-s31,director-on,31,5962752,0.65,,0.0,,,,,,,
director-on-s31,director-on,31,5993472,0.54,,0.0,,,,,,,
director-on-s31,director-on,31,6024192,0.61,,0.0,,,,,,,
director-on-s31,director-on,31,6054912,0.61,,0.0,,,,,,,
director-on-s31,director-on,31,6085632,0.72,,0.0,,,,,,,
director-on-s31,director-on,31,6116352,0.68,,0.0,,,,,,,
director-on-s31,director-on,31,6147072,0.62,,0.0,,,,,,,
director-on-s31,director-on,31,6177792,0.56,,0.0,,,,,,,
director-on-s31,director-on,31,6208512,0.68,,0.0,,,,,,,
director-on-s31,director-on,31,6239232,0.65,,0.0,,,,,,,
director-on-s31,director-on,31,6269952,0.64,,0.0,,,,,,,
director-on-s31,director-on,31,6300672,0.66,,0.0,,,,,,,
director-on-s31,director-on,31,6331392,0.65,,0.0,,,,,,,
director-on-s31,director-on,31,6362112,0.64,,0.0,,,,,,,
director-on-s31,director-on,31,6392832,0.72,,0.0,,,,,,,
director-on-s31,director-on,31,6423552,0.72,,0.0,,,,,,,
director-on-s31,director-on,31,6454272,0.6,,0.0,,,,,,,
director-on-s31,director-on,31,6484992,0.67,,0.0,,,,,,,
director-on-s31,director-on,31,6515712,0.66,,0.0,,,,,,,
director-on-s31,director-on,31,6546432,0.7,,0.0,,,,,,,
director-on-s31,director-on,31,6577152,0.66,,0.0,,,,,,,
director-on-s31,director-on,31,6607872,0.76,,0.0,,,,,,,
director-on-s31,director-on,31,6638592,0.62,,0.0,,,,,,,
director-on-s31,director-on,31,6669312,0.71,,0.0,,,,,,,
director-on-s31,director-on,31,6700032,0.73,,0.0,,,,,,,
director-on-s31,director-on,31,6730752,0.6,,0.0,,,,,,,
director-on-s31,director-on,31,6761472,0.65,,0.0,,,,,,,
director-on-s31,director-on,31,6792192,0.66,,0.0,,,,,,,
director-on-s31,director-on,31,6822912,0.69,,0.0,,,,,,,
director-on-s31,director-on,31,6853632,0.72,,0.0,,,,,,,
director-on-s31,director-on,31,6884352,0.66,,0.0,,,,,,,
director-on-s31,director-on,31,6915072,0.64,,0.0,,,,,,,
director-on-s31,director-on,31,6945792,0.71,,0.0,,,,,,,
director-on-s31,director-on,31,6976512,0.73,,0.0,,,,,,,
