run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
w10s-obj-cur-s41,w10s-obj-cur,41,3013632,0.27,0.75,-1.0,-0.2839,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,3044352,0.24,0.758,-1.0,-0.2113,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3075072,0.34,0.841,-1.0,-0.206,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3105792,0.23,0.73,-1.0,-0.3068,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3136512,0.33,0.805,-1.0,-0.3944,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3167232,0.19,0.694,-1.0,-0.3027,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3197952,0.34,0.83,-1.0,-0.1882,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3228672,0.28,0.785,-1.0,-0.112,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3259392,0.35,0.856,-1.0,-0.1958,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3290112,0.39,0.878,-1.0,-0.1875,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3320832,0.27,0.754,-1.0,-0.1463,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,3351552,0.33,0.856,-1.0,0.0871,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3382272,0.34,0.868,-1.0,-0.043,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3412992,0.3,0.813,-1.0,-0.1782,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3443712,0.34,0.829,-1.0,-0.3743,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3474432,0.4,0.877,-1.0,-0.21,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3505152,0.53,1.016,-1.0,-0.0567,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3535872,0.27,0.813,-1.0,-0.204,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3566592,0.39,0.894,-1.0,-0.1897,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3597312,0.36,0.855,-1.0,-0.0568,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3628032,0.29,0.818,-1.0,-0.2574,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3658752,0.34,0.825,-1.0,-0.1809,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3689472,0.38,0.87,-1.0,-0.0098,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3720192,0.4,0.868,-1.0,-0.1949,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,3750912,0.34,0.854,-1.0,0.132,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,3781632,0.47,0.926,-1.0,0.1516,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,3812352,0.36,0.913,-1.0,0.0071,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,3843072,0.39,0.881,-1.0,0.1549,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,3873792,0.48,0.953,-1.0,-0.1342,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,3904512,0.45,0.93,-1.0,-0.0566,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,3935232,0.45,0.957,-1.0,-0.0423,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,3965952,0.41,0.904,-1.0,-0.1,0.0,0.0,0.0,0.0,1.0,0.947
